SEC_NAME,ISLAND,REGION,OTHER_POOL_LEVEL,HUMAN_IMPACT,COARSE_STRUCT,REEF_ZONE,DEPTH_BIN,AREA_HA,UNCERTAIN_SIZE,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,Notes
GUAM_EAST_OPEN,Guam,MARIAN,Guam Open,U,U,Forereef,Deep,505.65,N,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,
GUAM_EAST_OPEN,Guam,MARIAN,Guam Open,U,U,Forereef,Mid,835.21,N,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,
GUAM_EAST_OPEN,Guam,MARIAN,Guam Open,U,U,Forereef,Shallow,766.11,N,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,GUAM_EAST_OPEN,
GUAM_HARBOR,Guam,MARIAN,Guam Open,U,U,Forereef,Deep,3.81,N,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,
GUAM_HARBOR,Guam,MARIAN,Guam Open,U,U,Forereef,Mid,38.29,N,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,
GUAM_HARBOR,Guam,MARIAN,Guam Open,U,U,Forereef,Shallow,95.17,N,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,GUAM_HARBOR,
GUAM_WEST_OPEN,Guam,MARIAN,Guam Open,U,U,Forereef,Deep,591.14,N,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,
GUAM_WEST_OPEN,Guam,MARIAN,Guam Open,U,U,Forereef,Mid,1277.95,N,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,
GUAM_WEST_OPEN,Guam,MARIAN,Guam Open,U,U,Forereef,Shallow,1997.03,N,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,GUAM_WEST_OPEN,
SASA_BAY_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Mid,2.54,N,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,
SASA_BAY_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Shallow,61.82,N,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,
ACHANG_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Deep,13.16,N,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,
ACHANG_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Mid,59.98,N,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,
ACHANG_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Shallow,140.14,N,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,
PATI_PT_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Deep,162.15,N,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
PATI_PT_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Mid,170.7,N,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
PATI_PT_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Shallow,109.24,N,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
PITI_BOMB_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Deep,19.2,N,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
PITI_BOMB_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Mid,47.04,N,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
PITI_BOMB_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Shallow,166.06,N,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
TUMON_BAY_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Deep,28.58,N,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
TUMON_BAY_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Mid,72.42,N,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
TUMON_BAY_MPA,Guam,MARIAN,Guam MPA,U,U,Forereef,Shallow,132.26,N,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,
Guguan,Guguan,MARIAN,NTH_MAR,U,U,Forereef,Deep,69.60776909,N,Guguan,Guguan,Guguan,Guguan,Guguan,
Guguan,Guguan,MARIAN,NTH_MAR,U,U,Forereef,Mid,73.0388079,N,Guguan,Guguan,Guguan,Guguan,Guguan,
Guguan,Guguan,MARIAN,NTH_MAR,U,U,Forereef,Shallow,57.31867709,N,Guguan,Guguan,Guguan,Guguan,Guguan,
Maug,Maug,MARIAN,NTH_MAR,U,U,Forereef,Deep,87.73461767,N,Maug,Maug,Maug,Maug,Maug,
Maug,Maug,MARIAN,NTH_MAR,U,U,Forereef,Mid,190.6950207,N,Maug,Maug,Maug,Maug,Maug,
Maug,Maug,MARIAN,NTH_MAR,U,U,Forereef,Shallow,35.44106339,N,Maug,Maug,Maug,Maug,Maug,
Pagan,Pagan,MARIAN,NTH_MAR,U,U,Forereef,Deep,571.3645349,N,Pagan,Pagan,Pagan,Pagan,Pagan,
Pagan,Pagan,MARIAN,NTH_MAR,U,U,Forereef,Mid,492.5006185,N,Pagan,Pagan,Pagan,Pagan,Pagan,
Pagan,Pagan,MARIAN,NTH_MAR,U,U,Forereef,Shallow,449.0588004,N,Pagan,Pagan,Pagan,Pagan,Pagan,
Pathfinder,Pathfinder,MARIAN,BANK,U,U,Forereef,Deep,33.67386448,N,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,
Pathfinder,Pathfinder,MARIAN,BANK,U,U,Forereef,Mid,46.89481662,N,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,
Rota,Rota,MARIAN,STH_MAR,U,U,Forereef,Deep,187.5332091,N,Rota,Rota,Rota,Rota,Rota,
Rota,Rota,MARIAN,STH_MAR,U,U,Forereef,Mid,254.5438529,N,Rota,Rota,Rota,Rota,Rota,
Rota,Rota,MARIAN,STH_MAR,U,U,Forereef,Shallow,889.2950898,N,Rota,Rota,Rota,Rota,Rota,
Saipan,Saipan,MARIAN,STH_MAR,U,U,Backreef,All,597.7086598,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Saipan,Saipan,MARIAN,STH_MAR,U,U,Forereef,Deep,1985.586578,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Saipan,Saipan,MARIAN,STH_MAR,U,U,Forereef,Mid,1132.596536,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Saipan,Saipan,MARIAN,STH_MAR,U,U,Forereef,Shallow,420.8277658,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Saipan,Saipan,MARIAN,STH_MAR,U,U,Lagoon,Mid,170.5443267,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Saipan,Saipan,MARIAN,STH_MAR,U,U,Lagoon,Shallow,412.3027837,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Saipan,Saipan,MARIAN,STH_MAR,U,U,OTHER,OTHER,126.9930931,N,Saipan,Saipan,Saipan,Saipan,Saipan,
Santa Rosa,Santa Rosa,MARIAN,BANK,U,U,Forereef,Deep,2262.645102,N,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,
Santa Rosa,Santa Rosa,MARIAN,BANK,U,U,Forereef,Mid,1288.462096,N,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,
Sarigan,Sarigan,MARIAN,NTH_MAR,U,U,Forereef,Deep,88.30851333,N,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,
Sarigan,Sarigan,MARIAN,NTH_MAR,U,U,Forereef,Mid,29.81657193,N,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,
Sarigan,Sarigan,MARIAN,NTH_MAR,U,U,Forereef,Shallow,79.43434663,N,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,
Supply Reef,Supply Reef,MARIAN,BANK,U,U,Forereef,Deep,8.705859815,N,Supply Reef,Supply Reef,Supply Reef,Supply Reef,Supply Reef,
Supply Reef,Supply Reef,MARIAN,BANK,U,U,Forereef,Mid,1.192725779,N,Supply Reef,Supply Reef,Supply Reef,Supply Reef,Supply Reef,
Tatsumi,Tatsumi,MARIAN,BANK,U,U,Forereef,Deep,88.09014362,N,Tatsumi,Tatsumi,Tatsumi,Tatsumi,Tatsumi,
Tatsumi,Tatsumi,MARIAN,BANK,U,U,Forereef,Mid,136.1279988,N,Tatsumi,Tatsumi,Tatsumi,Tatsumi,Tatsumi,
Tinian,Tinian,MARIAN,STH_MAR,U,U,Forereef,Deep,557.103082,N,Tinian,Tinian,Tinian,Tinian,Tinian,
Tinian,Tinian,MARIAN,STH_MAR,U,U,Forereef,Mid,534.0549959,N,Tinian,Tinian,Tinian,Tinian,Tinian,
Tinian,Tinian,MARIAN,STH_MAR,U,U,Forereef,Shallow,323.0482252,N,Tinian,Tinian,Tinian,Tinian,Tinian,
HAW_HAMAKUA,Hawaii,MHI,LCM,L,CM,Forereef,Deep,1479.311358,Y ,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Not much hard/soft information
HAW_HAMAKUA,Hawaii,MHI,LCM,L,CM,Forereef,Mid,2334.19033,Y ,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Not much hard/soft information
HAW_HAMAKUA,Hawaii,MHI,LCM,L,CM,Forereef,Shallow,1117.329716,Y ,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Not much hard/soft information
HAW_SE,Hawaii,MHI,LCM,L,CM,Forereef,Deep,593.4841055,N,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,
HAW_SE,Hawaii,MHI,LCM,L,CM,Forereef,Mid,857.7582457,N,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,
HAW_SE,Hawaii,MHI,LCM,L,CM,Forereef,Shallow,666.5433106,N,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,
HAW_PUNA,Hawaii,MHI,MCM,M,CM,Forereef,Deep,1446.862405,N,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,
HAW_PUNA,Hawaii,MHI,MCM,M,CM,Forereef,Mid,1603.885128,N,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,
HAW_PUNA,Hawaii,MHI,MCM,M,CM,Forereef,Shallow,1012.92738,N,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,
HAW_KONA,Hawaii,MHI,MCR,M,CR,Forereef,Deep,1546.877064,N,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,
HAW_KONA,Hawaii,MHI,MCR,M,CR,Forereef,Mid,2362.718917,N,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,
HAW_KONA,Hawaii,MHI,MCR,M,CR,Forereef,Shallow,1817.863584,N,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,
KAU_NAPALI,Kauai,MHI,LS,L,S,Forereef,Deep,4307.948554,N,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,
KAU_NAPALI,Kauai,MHI,LS,L,S,Forereef,Mid,1876.001023,N,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,
KAU_NAPALI,Kauai,MHI,LS,L,S,Forereef,Shallow,397.7237848,N,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,
KAU_EAST,Kauai,MHI,MS,M,S,Forereef,Deep,2891.111917,N,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,
KAU_EAST,Kauai,MHI,MS,M,S,Forereef,Mid,5602.631417,N,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,
KAU_EAST,Kauai,MHI,MS,M,S,Forereef,Shallow,3051.65048,N,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,
KAL_KAULA,Kaula,MHI,LS,L,S,Forereef,Deep,277.0347708,N,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,
KAL_KAULA,Kaula,MHI,LS,L,S,Forereef,Mid,50.28867577,N,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,
KAL_KAULA,Kaula,MHI,LS,L,S,Forereef,Shallow,18.50064904,N,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,
LAN_NORTH,Lanai,MHI,LCR,L,CR,Forereef,Deep,291.3020737,N,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,
LAN_NORTH,Lanai,MHI,LCR,L,CR,Forereef,Mid,599.9003844,N,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,
LAN_NORTH,Lanai,MHI,LCR,L,CR,Forereef,Shallow,631.8075072,N,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,
LAN_SOUTH,Lanai,MHI,MCM,M,CM,Forereef,Deep,246.6043512,N,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,
LAN_SOUTH,Lanai,MHI,MCM,M,CM,Forereef,Mid,487.9877445,N,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,
LAN_SOUTH,Lanai,MHI,MCM,M,CM,Forereef,Shallow,746.0718328,N,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,
MAI_KAHULUI,Maui,MHI,HCM,H,CM,Forereef,Deep,438.345922,N,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,
MAI_KAHULUI,Maui,MHI,HCM,H,CM,Forereef,Mid,850.0936376,N,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,
MAI_KAHULUI,Maui,MHI,HCM,H,CM,Forereef,Shallow,1099.201993,N,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,
MAI_KIHEI,Maui,MHI,HCM,H,CM,Forereef,Deep,537.9614588,N,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,
MAI_KIHEI,Maui,MHI,HCM,H,CM,Forereef,Mid,682.5282166,N,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,
MAI_KIHEI,Maui,MHI,HCM,H,CM,Forereef,Shallow,650.0680159,N,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,
MAI_LAHAINA,Maui,MHI,HS,H,S,Forereef,Deep,287.1615845,N,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,
MAI_LAHAINA,Maui,MHI,HS,H,S,Forereef,Mid,483.9295632,N,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,
MAI_LAHAINA,Maui,MHI,HS,H,S,Forereef,Shallow,439.3470347,N,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,MAI_LAHAINA,
MAI_NE,Maui,MHI,LCM,L,CM,Forereef,Deep,883.3579854,N,MAI_NE,MAI_NE,MAI_NE,MAI_NE,MAI_NE,
MAI_NE,Maui,MHI,LCM,L,CM,Forereef,Mid,926.711758,N,MAI_NE,MAI_NE,MAI_NE,MAI_NE,MAI_NE,
MAI_NE,Maui,MHI,LCM,L,CM,Forereef,Shallow,481.2408332,N,MAI_NE,MAI_NE,MAI_NE,MAI_NE,MAI_NE,
MAI_NW,Maui,MHI,LCM,L,CM,Forereef,Deep,315.7175228,N,MAI_NW,MAI_NW,MAI_NW,MAI_NW,MAI_NW,
MAI_NW,Maui,MHI,LCM,L,CM,Forereef,Mid,287.74445,N,MAI_NW,MAI_NW,MAI_NW,MAI_NW,MAI_NW,
MAI_NW,Maui,MHI,LCM,L,CM,Forereef,Shallow,176.1167662,N,MAI_NW,MAI_NW,MAI_NW,MAI_NW,MAI_NW,
MAI_SE,Maui,MHI,LCM,L,CM,Forereef,Deep,788.37286,N,MAI_SE,MAI_SE,MAI_SE,MAI_SE,MAI_SE,
MAI_SE,Maui,MHI,LCM,L,CM,Forereef,Mid,690.2023226,N,MAI_SE,MAI_SE,MAI_SE,MAI_SE,MAI_SE,
MAI_SE,Maui,MHI,LCM,L,CM,Forereef,Shallow,405.0121276,N,MAI_SE,MAI_SE,MAI_SE,MAI_SE,MAI_SE,
MAI_HANA,Maui,MHI,MCM,M,CM,Forereef,Deep,225.5929875,N,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,
MAI_HANA,Maui,MHI,MCM,M,CM,Forereef,Mid,258.3916816,N,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,
MAI_HANA,Maui,MHI,MCM,M,CM,Forereef,Shallow,190.0864145,N,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,MAI_HANA,
MAU_MOLOKINI,Maui,MHI,LCM,L,CM,Forereef,Deep,6.25,Y,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,"Assume is 25ha, assume 50% is mid, split rest equally"
MAU_MOLOKINI,Maui,MHI,LCM,L,CM,Forereef,Mid,12.5,Y,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,"Assume is 25ha, assume 50% is mid, split rest equally"
MAU_MOLOKINI,Maui,MHI,LCM,L,CM,Forereef,Shallow,6.25,Y,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,MAU_MOLOKINI,"Assume is 25ha, assume 50% is mid, split rest equally"
MOL_PALI,Molokai,MHI,LCM,L,CM,Forereef,Deep,634.0842128,N,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,
MOL_PALI,Molokai,MHI,LCM,L,CM,Forereef,Mid,467.9624676,N,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,
MOL_PALI,Molokai,MHI,LCM,L,CM,Forereef,Shallow,516.2585992,N,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,MOL_PALI,
MOL_NW,Molokai,MHI,LS,L,S,Forereef,Deep,733.1293957,N,MOL_NW,MOL_NW,MOL_NW,MOL_NW,MOL_NW,
MOL_NW,Molokai,MHI,LS,L,S,Forereef,Mid,601.1779629,N,MOL_NW,MOL_NW,MOL_NW,MOL_NW,MOL_NW,
MOL_NW,Molokai,MHI,LS,L,S,Forereef,Shallow,501.1542337,N,MOL_NW,MOL_NW,MOL_NW,MOL_NW,MOL_NW,
MOL_WEST,Molokai,MHI,LS,L,S,Forereef,Deep,1384.213479,N,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,
MOL_WEST,Molokai,MHI,LS,L,S,Forereef,Mid,1250.749123,N,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,
MOL_WEST,Molokai,MHI,LS,L,S,Forereef,Shallow,512.2388267,N,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,MOL_WEST,
MOL_SOUTH,Molokai,MHI,MCR,M,CR,Forereef,Deep,603.9775235,N,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,
MOL_SOUTH,Molokai,MHI,MCR,M,CR,Forereef,Mid,1293.344283,N,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,
MOL_SOUTH,Molokai,MHI,MCR,M,CR,Forereef,Shallow,4232.003508,N,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,MOL_SOUTH,
NII_LEHUA,Niihau,MHI,LCM,L,CM,Forereef,Deep,263,N,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,
NII_LEHUA,Niihau,MHI,LCM,L,CM,Forereef,Mid,487.75,N,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,
NII_LEHUA,Niihau,MHI,LCM,L,CM,Forereef,Shallow,354.75,N,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,NII_LEHUA,
NII_EAST,Niihau,MHI,LS,L,S,Forereef,Deep,1027.496786,N,NII_EAST,NII_EAST,NII_EAST,NII_EAST,NII_EAST,
NII_EAST,Niihau,MHI,LS,L,S,Forereef,Mid,1137.990268,N,NII_EAST,NII_EAST,NII_EAST,NII_EAST,NII_EAST,
NII_EAST,Niihau,MHI,LS,L,S,Forereef,Shallow,613.9646175,N,NII_EAST,NII_EAST,NII_EAST,NII_EAST,NII_EAST,
NII_WEST,Niihau,MHI,LS,L,S,Forereef,Deep,1468.465202,N,NII_WEST,NII_WEST,NII_WEST,NII_WEST,NII_WEST,
NII_WEST,Niihau,MHI,LS,L,S,Forereef,Mid,2992.988492,N,NII_WEST,NII_WEST,NII_WEST,NII_WEST,NII_WEST,
NII_WEST,Niihau,MHI,LS,L,S,Forereef,Shallow,919.395945,N,NII_WEST,NII_WEST,NII_WEST,NII_WEST,NII_WEST,
OAH_SOUTH,Oahu,MHI,HS,H,S,Forereef,Deep,1457.29677,N,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,
OAH_SOUTH,Oahu,MHI,HS,H,S,Forereef,Mid,3926.206706,N,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,OAH_SOUTH,
