REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,NH,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,A_BENTHIC_REP_CARD,BENTHIC_SEC_CODE,GEN_MHI_STRUCTURE,PROTECTION_DS,NOTES
MARIAN,Guam,GUA_PITI_BOMB,Forereef,Deep,18.5,74,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_WEST,GUA_WEST,,PITI,
MARIAN,Guam,GUA_PITI_BOMB,Forereef,Mid,40.25,161,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_WEST,GUA_WEST,,PITI,
MARIAN,Guam,GUA_PITI_BOMB,Forereef,Shallow,23.5,94,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_WEST,GUA_WEST,,PITI,
MARIAN,Guam,GUA_SASA_BAY,Forereef,Mid,2.54,10,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,NOT,GUA_WEST,GUA_HAR_WEST,,SASA,
MARIAN,Guam,GUA_SASA_BAY,Forereef,Shallow,61.82,247,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,NOT,GUA_WEST,GUA_HAR_WEST,,SASA,
MARIAN,Guam,GUA_TUMON_BAY,Forereef,Deep,27.75,111,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_WEST,GUA_WEST,,TUMB,
MARIAN,Guam,GUA_TUMON_BAY,Forereef,Mid,71.75,287,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_WEST,GUA_WEST,,TUMB,
MARIAN,Guam,GUA_TUMON_BAY,Forereef,Shallow,131,524,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,GUA_WEST,GUA_WEST,,TUMB,
MARIAN,Guguan,Guguan,Forereef,Deep,69.60776909,278,Guguan,Guguan,Guguan,Guguan,Guguan,CNMI_UNPOP,GUG,GUG,,OPEN,
MARIAN,Guguan,Guguan,Forereef,Mid,73.0388079,292,Guguan,Guguan,Guguan,Guguan,Guguan,CNMI_UNPOP,GUG,GUG,,OPEN,
MARIAN,Guguan,Guguan,Forereef,Shallow,57.31867709,229,Guguan,Guguan,Guguan,Guguan,Guguan,CNMI_UNPOP,GUG,GUG,,OPEN,
MARIAN,Maug,Maug,Forereef,Deep,87.73461767,351,Maug,Maug,Maug,Maug,Maug,MTMNM,MAU,MAU,,MTMM,
MARIAN,Maug,Maug,Forereef,Mid,190.6950207,763,Maug,Maug,Maug,Maug,Maug,MTMNM,MAU,MAU,,MTMM,
MARIAN,Maug,Maug,Forereef,Shallow,35.44106339,142,Maug,Maug,Maug,Maug,Maug,MTMNM,MAU,MAU,,MTMM,
MARIAN,Pagan,Pagan,Forereef,Deep,571.3645349,2285,Pagan,Pagan,Pagan,Pagan,Pagan,CNMI_UNPOP,PAG,PAG,,OPEN,
MARIAN,Pagan,Pagan,Forereef,Mid,492.5006185,1970,Pagan,Pagan,Pagan,Pagan,Pagan,CNMI_UNPOP,PAG,PAG,,OPEN,
MARIAN,Pagan,Pagan,Forereef,Shallow,449.0588004,1796,Pagan,Pagan,Pagan,Pagan,Pagan,CNMI_UNPOP,PAG,PAG,,OPEN,
MARIAN,Pathfinder,Pathfinder,Forereef,Deep,33.67386448,NA,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,NOT,Pathfinder,Pathfinder,NA,NA,
MARIAN,Pathfinder,Pathfinder,Forereef,Mid,46.89481662,NA,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,NOT,Pathfinder,Pathfinder,NA,NA,
MARIAN,Rota,Rota,Forereef,Deep,187.5332091,750,Rota,Rota,Rota,Rota,Rota,Rota,ROT,ROT,,OPEN,
MARIAN,Rota,Rota,Forereef,Mid,254.5438529,1018,Rota,Rota,Rota,Rota,Rota,Rota,ROT,ROT,,OPEN,
MARIAN,Rota,Rota,Forereef,Shallow,889.2950898,3557,Rota,Rota,Rota,Rota,Rota,Rota,ROT,ROT,,OPEN,
MARIAN,Saipan,Saipan,Backreef,All,597.7086598,2391,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,,OPEN,
MARIAN,Saipan,Saipan,Forereef,Deep,1985.586578,7942,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,,OPEN,
MARIAN,Saipan,Saipan,Forereef,Mid,1132.596536,4530,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,,OPEN,
MARIAN,Saipan,Saipan,Forereef,Shallow,420.8277658,1683,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,,OPEN,
MARIAN,Saipan,Saipan,Lagoon,Mid,170.5443267,682,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,,OPEN,
MARIAN,Saipan,Saipan,Lagoon,Shallow,412.3027837,1649,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,,OPEN,
MARIAN,Saipan,Saipan,OTHER,OTHER,126.9930931,NA,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,SAI,SAI,NA,OPEN,
MARIAN,Santa Rosa,Santa Rosa,Forereef,Deep,2262.645102,NA,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,NOT,Santa Rosa,Santa Rosa,NA,NA,
MARIAN,Santa Rosa,Santa Rosa,Forereef,Mid,1288.462096,NA,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,NOT,Santa Rosa,Santa Rosa,NA,NA,
MARIAN,Sarigan,Sarigan,Forereef,Deep,88.30851333,353,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,CNMI_UNPOP,SAR,SAR,,OPEN,
MARIAN,Sarigan,Sarigan,Forereef,Mid,29.81657193,119,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,CNMI_UNPOP,SAR,SAR,,OPEN,
MARIAN,Sarigan,Sarigan,Forereef,Shallow,79.43434663,318,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,CNMI_UNPOP,SAR,SAR,,OPEN,
MARIAN,Supply Reef,Supply Reef,Forereef,Deep,8.705859815,NA,Supply Reef,Supply Reef,Supply Reef,Supply Reef,Supply Reef,NOT,Supply Reef,Supply Reef,NA,NA,
MARIAN,Supply Reef,Supply Reef,Forereef,Mid,1.192725779,NA,Supply Reef,Supply Reef,Supply Reef,Supply Reef,Supply Reef,NOT,Supply Reef,Supply Reef,NA,NA,
MARIAN,Tatsumi,Tatsumi,Forereef,Deep,88.09014362,NA,Tatsumi,Tatsumi,Tatsumi,Tatsumi,Tatsumi,NOT,Tatsumi,Tatsumi,NA,NA,
MARIAN,Tatsumi,Tatsumi,Forereef,Mid,136.1279988,NA,Tatsumi,Tatsumi,Tatsumi,Tatsumi,Tatsumi,NOT,Tatsumi,Tatsumi,NA,NA,
MARIAN,Tinian,Tinian,Forereef,Deep,557.103082,2228,Tinian,Tinian,Tinian,Tinian,Tinian,SaTiAg,TIN,TIN,,OPEN,
MARIAN,Tinian,Tinian,Forereef,Mid,534.0549959,2136,Tinian,Tinian,Tinian,Tinian,Tinian,SaTiAg,TIN,TIN,,OPEN,
MARIAN,Tinian,Tinian,Forereef,Shallow,323.0482252,1292,Tinian,Tinian,Tinian,Tinian,Tinian,SaTiAg,TIN,TIN,,OPEN,
MHI,Hawaii,HAW_HAMAKUA,Forereef,Deep,1479.311358,5917,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Hawaii,HAW_CM,HAW_CMHA,CM,OPEN,Not much hard/soft information
MHI,Hawaii,HAW_HAMAKUA,Forereef,Mid,2334.19033,9337,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Hawaii,HAW_CM,HAW_CMHA,CM,OPEN,Not much hard/soft information
MHI,Hawaii,HAW_HAMAKUA,Forereef,Shallow,1117.329716,4469,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Hawaii,HAW_CM,HAW_CMHA,CM,OPEN,Not much hard/soft information
MHI,Hawaii,HAW_KONA,Forereef,Deep,1546.877064,6188,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,Hawaii,HAW_CR,HAW_CRKO,CR,OPEN,
MHI,Hawaii,HAW_KONA,Forereef,Mid,2362.718917,9451,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,Hawaii,HAW_CR,HAW_CRKO,CR,OPEN,
MHI,Hawaii,HAW_KONA,Forereef,Shallow,1817.863584,7271,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,Hawaii,HAW_CR,HAW_CRKO,CR,OPEN,
MHI,Hawaii,HAW_PUNA,Forereef,Deep,1446.862405,5787,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,Hawaii,HAW_CM,HAW_CMPU,CM,OPEN,
MHI,Hawaii,HAW_PUNA,Forereef,Mid,1603.885128,6416,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,Hawaii,HAW_CM,HAW_CMPU,CM,OPEN,
MHI,Hawaii,HAW_PUNA,Forereef,Shallow,1012.92738,4052,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,Hawaii,HAW_CM,HAW_CMPU,CM,OPEN,
MHI,Hawaii,HAW_SE,Forereef,Deep,593.4841055,2374,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,Hawaii,HAW_CM,HAW_CMSE,CM,OPEN,
MHI,Hawaii,HAW_SE,Forereef,Mid,857.7582457,3431,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,Hawaii,HAW_CM,HAW_CMSE,CM,OPEN,
MHI,Hawaii,HAW_SE,Forereef,Shallow,666.5433106,2666,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,Hawaii,HAW_CM,HAW_CMSE,CM,OPEN,
MHI,Kahoolawe,KAH_NORTH,Forereef,Deep,200,811,KAH_NORTH,KAH_NORTH,KAH_NORTH,KAH_NORTH,KAH_NORTH,Maui-nui,KAH_CR,KAH_CRNO,CR,OPEN,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kahoolawe,KAH_NORTH,Forereef,Mid,200,811,KAH_NORTH,KAH_NORTH,KAH_NORTH,KAH_NORTH,KAH_NORTH,Maui-nui,KAH_CR,KAH_CRNO,CR,OPEN,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kahoolawe,KAH_NORTH,Forereef,Shallow,200,811,KAH_NORTH,KAH_NORTH,KAH_NORTH,KAH_NORTH,KAH_NORTH,Maui-nui,KAH_CR,KAH_CRNO,CR,OPEN,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kahoolawe,KAH_SOUTH,Forereef,Deep,200,944,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,Maui-nui,KAH_CR,KAH_CRSO,CR,OPEN,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kahoolawe,KAH_SOUTH,Forereef,Mid,200,944,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,Maui-nui,KAH_CR,KAH_CRSO,CR,OPEN,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kahoolawe,KAH_SOUTH,Forereef,Shallow,200,944,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,KAH_SOUTH,Maui-nui,KAH_CR,KAH_CRSO,CR,OPEN,Unkown Size .. Setting to 1/6 of our very rough ballpark estimate of habitat area. It seems low! Critical point for now is that all Kahoolawe sectors are eqaully sized
MHI,Kauai,KAU_EAST,Forereef,Deep,2891.111917,11564,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,Kaa-Nii,KAU_SI,KAU_SIEA,SI,OPEN,
MHI,Kauai,KAU_EAST,Forereef,Mid,5602.631417,22411,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,Kaa-Nii,KAU_SI,KAU_SIEA,SI,OPEN,
MHI,Kauai,KAU_EAST,Forereef,Shallow,3051.65048,12207,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,Kaa-Nii,KAU_SI,KAU_SIEA,SI,OPEN,
MHI,Kauai,KAU_NAPALI,Forereef,Deep,4307.948554,17232,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,Kaa-Nii,KAU_SI,KAU_SINA,SI,OPEN,
