SEC_NAME,ISLAND,REGION,REEF_ZONE,DEPTH_BIN,AREA_HA,UNCERTAIN_SIZE,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,NOTES
SASA_BAY_MPA,Guam,MARIAN,Forereef,Mid,2.54,N,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,NOT,
SASA_BAY_MPA,Guam,MARIAN,Forereef,Shallow,61.82,N,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,SASA_BAY_MPA,NOT,
ACHANG_MPA,Guam,MARIAN,Forereef,Deep,13.75,N,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,GUAM_MP,
ACHANG_MPA,Guam,MARIAN,Forereef,Mid,59.25,N,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,GUAM_MP,
ACHANG_MPA,Guam,MARIAN,Forereef,Shallow,33.25,N,GUAM_MP,ACHANG_MPA,ACHANG_MPA,GUAM_MP,GUAM_MP,GUAM_MP,
PATI_PT_MPA,Guam,MARIAN,Forereef,Deep,155.25,N,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
PATI_PT_MPA,Guam,MARIAN,Forereef,Mid,159,N,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
PATI_PT_MPA,Guam,MARIAN,Forereef,Shallow,36.25,N,GUAM_MP,PATI_PT_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
PITI_BOMB_MPA,Guam,MARIAN,Forereef,Deep,18.5,N,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
PITI_BOMB_MPA,Guam,MARIAN,Forereef,Mid,40.25,N,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
PITI_BOMB_MPA,Guam,MARIAN,Forereef,Shallow,23.5,N,GUAM_MP,PITI_BOMB_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
TUMON_BAY_MPA,Guam,MARIAN,Forereef,Deep,27.75,N,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
TUMON_BAY_MPA,Guam,MARIAN,Forereef,Mid,71.75,N,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
TUMON_BAY_MPA,Guam,MARIAN,Forereef,Shallow,131,N,GUAM_MP,TUMON_BAY_MPA,GUAM_MP_MINUS_ACHANG,GUAM_MP,GUAM_MP,GUAM_MP,
Guguan,Guguan,MARIAN,Forereef,Deep,69.60776909,N,Guguan,Guguan,Guguan,Guguan,Guguan,CNMI_UNPOP,
Guguan,Guguan,MARIAN,Forereef,Mid,73.0388079,N,Guguan,Guguan,Guguan,Guguan,Guguan,CNMI_UNPOP,
Guguan,Guguan,MARIAN,Forereef,Shallow,57.31867709,N,Guguan,Guguan,Guguan,Guguan,Guguan,CNMI_UNPOP,
Maug,Maug,MARIAN,Forereef,Deep,87.73461767,N,Maug,Maug,Maug,Maug,Maug,MTMNM,
Maug,Maug,MARIAN,Forereef,Mid,190.6950207,N,Maug,Maug,Maug,Maug,Maug,MTMNM,
Maug,Maug,MARIAN,Forereef,Shallow,35.44106339,N,Maug,Maug,Maug,Maug,Maug,MTMNM,
Pagan,Pagan,MARIAN,Forereef,Deep,571.3645349,N,Pagan,Pagan,Pagan,Pagan,Pagan,CNMI_UNPOP,
Pagan,Pagan,MARIAN,Forereef,Mid,492.5006185,N,Pagan,Pagan,Pagan,Pagan,Pagan,CNMI_UNPOP,
Pagan,Pagan,MARIAN,Forereef,Shallow,449.0588004,N,Pagan,Pagan,Pagan,Pagan,Pagan,CNMI_UNPOP,
Pathfinder,Pathfinder,MARIAN,Forereef,Deep,33.67386448,N,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,NOT,
Pathfinder,Pathfinder,MARIAN,Forereef,Mid,46.89481662,N,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,NOT,
Rota,Rota,MARIAN,Forereef,Deep,187.5332091,N,Rota,Rota,Rota,Rota,Rota,Rota,
Rota,Rota,MARIAN,Forereef,Mid,254.5438529,N,Rota,Rota,Rota,Rota,Rota,Rota,
Rota,Rota,MARIAN,Forereef,Shallow,889.2950898,N,Rota,Rota,Rota,Rota,Rota,Rota,
Saipan,Saipan,MARIAN,Backreef,All,597.7086598,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Saipan,Saipan,MARIAN,Forereef,Deep,1985.586578,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Saipan,Saipan,MARIAN,Forereef,Mid,1132.596536,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Saipan,Saipan,MARIAN,Forereef,Shallow,420.8277658,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Saipan,Saipan,MARIAN,Lagoon,Mid,170.5443267,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Saipan,Saipan,MARIAN,Lagoon,Shallow,412.3027837,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Saipan,Saipan,MARIAN,OTHER,OTHER,126.9930931,N,Saipan,Saipan,Saipan,Saipan,Saipan,SaTiAg,
Santa Rosa,Santa Rosa,MARIAN,Forereef,Deep,2262.645102,N,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,NOT,
Santa Rosa,Santa Rosa,MARIAN,Forereef,Mid,1288.462096,N,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,NOT,
Sarigan,Sarigan,MARIAN,Forereef,Deep,88.30851333,N,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,CNMI_UNPOP,
Sarigan,Sarigan,MARIAN,Forereef,Mid,29.81657193,N,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,CNMI_UNPOP,
Sarigan,Sarigan,MARIAN,Forereef,Shallow,79.43434663,N,Sarigan,Sarigan,Sarigan,Sarigan,Sarigan,CNMI_UNPOP,
Supply Reef,Supply Reef,MARIAN,Forereef,Deep,8.705859815,N,Supply Reef,Supply Reef,Supply Reef,Supply Reef,Supply Reef,NOT,
Supply Reef,Supply Reef,MARIAN,Forereef,Mid,1.192725779,N,Supply Reef,Supply Reef,Supply Reef,Supply Reef,Supply Reef,NOT,
Tatsumi,Tatsumi,MARIAN,Forereef,Deep,88.09014362,N,Tatsumi,Tatsumi,Tatsumi,Tatsumi,Tatsumi,NOT,
